from,to
21906,21875
21910,21900
21925,21875
21926,21876
21930,21880
21950,21875
22000,18750
22001,18751
22002,22000
22005,15755
22006,18756
22010,22000
22025,15775
22026,22000
22030,21875
22050,22000
22125,21875
22126,21876
22130,22000
22150,18900
22250,21875
22500,3125
22501,3126
22502,3127
22505,3130
22506,3131
22510,3135
22525,3150
22526,3151
22530,3155
22550,3175
22625,18750
22626,18751
22630,18755
22650,21875
22750,18875
23125,3750
23126,3751
23130,3755
23150,3775
23250,19375
23750,21875
25000,15625
25001,15626
25002,15627
25005,15630
25006,15631
25010,15635
25025,15650
25026,15651
25030,15655
25050,15675
25125,15750
25126,15751
25130,15755
25150,15775
25250,15875
25625,16250
25626,16251
25630,16255
25650,16275
25750,16375
26250,16875
28125,18750
28126,18751
28130,18755
28150,18775
28250,18875
28750,19375
31250,0
31251,1
31252,31250
31253,31250
31254,31251
31255,5
31256,6
31257,31255
31258,31255
31260,31250
31261,31251
31262,31260
31265,31250
31266,31251
31270,31255
31275,25
31276,26
31277,31275
31278,31275
31280,30
31281,31250
31282,31251
31285,31275
31286,31255
31290,31275
31300,31250
31301,31251
31302,31300
31305,31255
31306,31275
31310,31300
31325,31250
31326,31251
31330,31255
31350,31275
31375,125
31376,126
31377,31375
31378,31375
31380,130
31381,131
31382,31380
31385,31375
31386,136
31390,31375
31400,150
31401,151
31402,31400
31405,31250
31406,31375
31410,31255
31425,31375
31426,176
31430,31275
31450,31375
31500,31250
31501,31251
31502,31500
31505,31255
31506,31256
31510,31500
31525,31275
31526,31276
31530,31375
31550,31500
31625,31250
31626,31251
31630,31255
31650,31275
31750,31375
31875,625
31876,626
31877,31875
31878,31875
31880,630
31881,631
31882,31880
31885,31875
31886,31876
31890,31875
31900,650
31901,651
31902,31900
31905,655
31906,31875
31910,31900
31925,31875
31926,676
31930,680
31950,31875
32000,750
32001,751
32002,32000
32005,755
32006,756
32010,32000
32025,31250
32026,31251
32030,31875
32050,31275
32125,31875
32126,31876
32130,880
32150,31375
32250,31875
32500,31250
32501,31251
32502,32500
32505,31255
32506,31256
32510,32500
32525,31275
32526,31276
32530,31280
32550,32500
32625,31375
32626,31376
32630,31380
32650,31875
32750,32500
33125,31250
33126,31251
33130,31255
33150,31275
33250,31375
33750,31875
34375,3125
34376,3126
34377,34375
34378,34375
34380,3130
34381,3131
34382,34380
34385,34375
34386,34376
34390,34375
34400,3150
34401,3151
34402,34400
34405,3155
34406,34375
34410,34400
34425,34375
34426,34376
34430,34380
34450,34375
34500,3250
34501,3251
34502,34500
34505,3255
34506,3256
34510,34500
34525,3275
34526,3276
34530,34375
34550,34500
34625,34375
34626,34376
34630,3380
34650,3400
34750,34375
35000,15625
35001,15626
35002,15627
35005,15630
35006,15631
35010,15635
35025,15650
35026,15651
35030,15655
35050,15675
35125,31250
35126,31251
35130,31255
35150,34375
35250,31375
35625,16250
35626,16251
35630,16255
35650,16275
35750,31875
36250,34375
37500,31250
37501,31251
37502,37500
37505,31255
37506,31256
37510,37500
37525,31275
37526,31276
37530,31280
37550,37500
37625,31375
37626,31376
37630,31380
37650,31400
37750,37500
38125,18750
38126,18751
38130,18755
38150,18775
38250,34375
38750,19375
40625,31250
40626,31251
40630,31255
40650,31275
40750,31375
41250,31875
43750,34375
46875,0
46876,1
46877,2
46878,46875
46880,5
46881,6
46882,7
46885,10
46886,11
46890,46875
46900,25
46901,26
46902,27
46905,30
46906,31
46910,35
46925,50
46926,51
46930,55
46950,46875
47000,125
47001,126
47002,127
47005,130
47006,131
47010,135
47025,150
47026,151
47030,155
47050,175
47125,250
47126,251
47130,255
47150,275
47250,46875
47500,625
47501,626
47502,627
47505,630
47506,631
47510,635
47525,650
47526,651
47530,655
47550,675
47625,750
47626,751
47630,755
47650,775
47750,875
48125,1250
48126,1251
48130,1255
48150,1275
48250,1375
48750,46875
50000,3125
50001,3126
50002,3127
50005,3130
50006,3131
50010,3135
50025,3150
50026,3151
50030,3155
50050,3175
50125,3250
50126,3251
50130,3255
50150,3275
50250,3375
50625,3750
50626,3751
50630,3755
50650,3775
50750,3875
51250,4375
53125,6250
53126,6251
53130,6255
53150,6275
53250,6375
53750,6875
56250,46875
62500,15625
62501,15626
62502,15627
62505,15630
62506,15631
62510,15635
62525,15650
62526,15651
62530,15655
62550,15675
62625,15750
62626,15751
62630,15755
62650,15775
62750,15875
63125,16250
63126,16251
63130,16255
63150,16275
63250,16375
63750,16875
65625,18750
65626,18751
65630,18755
65650,18775
65750,18875
66250,19375
68750,21875
78127,78125
78128,78125
78129,78126
78131,78125
78132,78130
78133,78130
78134,78131
78135,78125
78136,78126
78137,78135
78138,78135
78140,78125
78141,78126
78142,78127
78145,78130
78146,78131
78151,78125
78152,78150
78153,78150
78154,78151
78155,78125
78156,78125
78157,78126
78158,78155
78160,78150
78161,78130
78162,78131
78165,78150
78166,78151
78170,78155
78175,78125
78176,78126
78177,78175
78178,78175
78180,78130
78181,78150
78182,78151
78185,78175
78186,78155
78190,78175
78200,78125
78201,78126
78202,78127
78205,78130
78206,78131
78210,78135
78225,78150
78226,78151
78230,78155
78252,78250
78253,78250
78254,78251
78255,78125
78256,78126
78257,78255
78258,78255
78260,78250
78261,78131
78262,78260
78265,78250
78266,78251
78270,78255
78275,78125
78276,78250
78277,78275
78278,78275
78280,78125
78281,78250
78282,78251
78285,78130
78286,78255
78290,78275
78300,78250
78301,78275
78302,78300
78305,78150
78306,78275
78310,78155
78325,78250
78326,78251
78330,78255
78350,78275
78375,78125
78376,78126
78377,78375
78378,78375
78380,78130
78381,78131
78382,78380
78385,78375
78386,78376
78390,78375
78400,78150
78401,78151
78402,78400
78405,78250
78406,78375
78410,78255
78425,78375
78426,78376
78430,78275
78450,78375
78500,78125
78501,78126
78502,78127
78505,78130
78506,78131
78510,78135
78525,78150
78526,78151
78530,78155
78550,78175
78625,78250
78626,78251
78630,78255
78650,78275
78752,78750
78753,78750
78754,78751
78756,78750
78757,78755
78758,78755
78760,78750
78761,78751
78762,78760
78765,78750
78766,78751
78770,78755
78775,78125
78776,78750
78777,78775
78778,78775
78780,78130
78781,78750
78782,78751
78785,78775
78786,78755
78790,78775
78800,78750
78801,78775
78802,78800
78805,78155
78806,78775
78810,78800
78825,78750
78826,78751
78830,78755
78850,78775
78875,78125
78876,78126
78877,78875
78878,78875
78880,78750
78881,78875
78882,78880
78885,78875
78886,78876
78890,78875
78900,78125
78901,78126
78902,78127
78905,78750
78906,78875
78910,78755
78925,78150
78926,78151
78930,78775
78950,78875
79000,78750
79001,78751
79002,79000
79005,78875
79006,78756
79010,79000
79025,78250
79026,78251
79030,78875
79050,78275
79125,78750
79126,78751
79130,78755
79150,78775
79250,78875
79375,78125
79376,78126
79377,79375
79378,79375
79380,78130
79381,78131
79382,79380
79385,79375
79386,79376
79390,79375
79400,78150
79401,78151
79402,79400
79405,78155
79406,79375
79410,79400
79425,79375
79426,79376
79430,79380
79450,79375
79500,78250
79501,78251
79502,79500
79505,78255
79506,78256
79510,79500
79525,78750
79526,78751
79530,79375
79550,78775
79625,79375
79626,79376
79630,79380
79650,78875
79750,79375
80000,78125
80001,78126
80002,78127
80005,78130
80006,78131
80010,78135
80025,78150
80026,78151
80030,78155
80050,78175
80125,78250
80126,78251
80130,78255
80150,78275
80250,78375
80625,78750
80626,78751
80630,78755
80650,78775
80750,78875
81250,0
81251,1
81252,81250
81253,81250
81254,81251
81255,5
81256,6
81257,81255
81258,81255
81260,81250
81261,81251
81262,81260
81265,81250
81266,81251
81270,81255
81275,25
81276,81250
81277,81275
81278,81275
81280,30
81281,81250
81282,81251
81285,81275
81286,81255
81290,81275
81300,81250
81301,81251
81302,81300
81305,81255
81306,81275
81310,81300
81325,81250
81326,81251
81330,81255
81350,81275
81375,78125
81376,78126
81377,81375
81378,81375
81380,81250
81381,81251
81382,81380
81385,81375
81386,81256
81390,81375
81400,150
81401,81375
81402,81400
81405,81250
81406,81375
81410,81255
81425,81375
81426,81400
81430,81275
81450,81375
81500,81250
81501,81251
81502,81500
81505,81255
81506,81256
81510,81500
81525,81275
81526,81276
81530,81375
81550,81500
81625,81250
81626,81251
81630,81255
81650,81275
81750,81375
81875,625
81876,626
81877,81875
81878,81875
81880,630
81881,631
81882,81880
81885,81875
81886,81876
81890,81875
81900,81250
81901,81875
81902,81900
81905,81255
81906,81875
81910,81900
81925,81875
81926,81900
81930,81280
81950,81875
82000,78125
82001,78126
82002,78127
82005,78130
82006,78131
82010,78135
82025,81250
82026,81251
82030,81875
82050,81275
82125,78250
82126,78251
82130,78255
82150,81375
82250,81875
82500,81250
82501,81251
82502,82500
82505,81255
82506,81256
82510,82500
82525,81275
82526,81276
82530,81280
82550,82500
82625,78750
82626,78751
82630,78755
82650,81875
82750,78875
83125,81250
83126,81251
83130,81255
83150,81275
83250,81375
83750,81875
84375,78125
84376,78126
84377,84375
84378,84375
84380,78130
84381,78131
84382,84380
84385,84375
84386,84376
84390,84375
84400,78150
84401,78151
84402,84400
84405,78155
84406,84375
84410,84400
84425,84375
84426,84376
84430,84380
84450,84375
84500,81250
84501,81251
84502,84500
84505,78255
84506,81256
84510,84500
84525,78275
84526,84500
84530,84375
84550,84500
84625,84375
84626,84376
84630,84500
84650,81400
84750,84375
85000,3750
85001,3751
85002,85000
85005,3755
85006,3756
85010,85000
85025,78775
85026,85000
85030,3780
85050,85000
85125,81250
85126,81251
85130,81255
85150,84375
85250,81375
85625,84375
85626,84376
85630,84380
85650,85000
85750,81875
86250,84375
87500,78125
87501,78126
87502,78127
87505,78130
87506,78131
87510,78135
87525,78150
87526,78151
87530,78155
87550,78175
87625,78250
87626,78251
87630,78255
87650,78275
87750,78375
88125,78750
88126,78751
88130,78755
